State/UnionTerritory,Confirmed,Deaths,Cured,Mortality Rate (%),Recovery Rate (%)
Andaman and Nicobar Islands,1938498,27136,1848286,1.4,95.35
Andhra Pradesh,392432753,2939367,370426530,0.75,94.39
Arunachal Pradesh,7176907,26799,6588149,0.37,91.8
Assam,99837011,638323,92678680,0.64,92.83
Bihar,132231166,1093466,125122902,0.83,94.62
Bihar****,1430909,18881,1402468,1.32,98.01
Cases being reassigned to states,345565,0,0,0.0,0.0
Chandigarh,10858627,147694,10117035,1.36,93.17
Chhattisgarh,163776262,2063920,151609364,1.26,92.57
Dadra and Nagar Haveli,20722,8,20352,0.04,98.21
Dadra and Nagar Haveli and Daman and Diu,1938632,1014,1841750,0.05,95.0
Daman & Diu,2,0,0,0.0,0.0
Delhi,287227765,4943294,273419887,1.72,95.19
Goa,28240159,447801,26027201,1.59,92.16
Gujarat,143420082,2219448,132487127,1.55,92.38
Haryana,134347285,1502799,126585342,1.12,94.22
Himachal Pradesh,30033289,491348,27501110,1.64,91.57
Himanchal Pradesh,204516,3507,200040,1.71,97.81
Jammu and Kashmir,58117726,839694,53297341,1.44,91.71
Jharkhand,62111994,748641,58034506,1.21,93.44
Karanataka,2885238,36197,2821491,1.25,97.79
Karnataka,485970693,6053762,441844360,1.25,90.92
Kerala,458906023,1888177,420174235,0.41,91.56
Ladakh,4054293,45804,3758960,1.13,92.72
Lakshadweep,915784,3908,820925,0.43,89.64
Madhya Pradesh,135625265,1777752,126724997,1.31,93.44
Madhya Pradesh***,791656,10506,780735,1.33,98.62
Maharashtra,1121491467,23737432,1018765039,2.12,90.84
Maharashtra***,6229596,130753,6000911,2.1,96.33
Manipur,12617943,173056,11230568,1.37,89.0
Meghalaya,7355969,101950,6537909,1.39,88.88
Mizoram,2984732,9791,2384602,0.33,79.89
Nagaland,5041742,58460,4519526,1.16,89.64
Odisha,160130533,790814,150923455,0.49,94.25
Puducherry,20065891,312155,18483117,1.56,92.11
Punjab,99949702,2785594,91458159,2.79,91.5
Rajasthan,162369656,1473089,150356820,0.91,92.6
Sikkim,3186799,53150,2747214,1.67,86.21
Tamil Nadu,431928644,5916658,404095807,1.37,93.56
Telangana,60571979,349648,57488245,0.58,94.91
Telengana,69990668,400427,64666267,0.57,92.39
Tripura,14050250,150342,12976846,1.07,92.36
Unassigned,161,0,0,0.0,0.0
Uttar Pradesh,312625843,4143450,291479351,1.33,93.24
Uttarakhand,53140414,986001,48362741,1.86,91.01
West Bengal,263107876,3846989,247515102,1.46,94.07
