State/UnionTerritory,Confirmed,Deaths,Cured
Andaman and Nicobar Islands,1938498,27136,1848286
Andhra Pradesh,392432753,2939367,370426530
Arunachal Pradesh,7176907,26799,6588149
Assam,99837011,638323,92678680
Bihar,132231166,1093466,125122902
Bihar****,1430909,18881,1402468
Cases being reassigned to states,345565,0,0
Chandigarh,10858627,147694,10117035
Chhattisgarh,163776262,2063920,151609364
Dadra and Nagar Haveli,20722,8,20352
Dadra and Nagar Haveli and Daman and Diu,1938632,1014,1841750
Daman & Diu,2,0,0
Delhi,287227765,4943294,273419887
Goa,28240159,447801,26027201
Gujarat,143420082,2219448,132487127
Haryana,134347285,1502799,126585342
Himachal Pradesh,30033289,491348,27501110
Himanchal Pradesh,204516,3507,200040
Jammu and Kashmir,58117726,839694,53297341
Jharkhand,62111994,748641,58034506
Karanataka,2885238,36197,2821491
Karnataka,485970693,6053762,441844360
Kerala,458906023,1888177,420174235
Ladakh,4054293,45804,3758960
Lakshadweep,915784,3908,820925
Madhya Pradesh,135625265,1777752,126724997
Madhya Pradesh***,791656,10506,780735
Maharashtra,1121491467,23737432,1018765039
Maharashtra***,6229596,130753,6000911
Manipur,12617943,173056,11230568
Meghalaya,7355969,101950,6537909
Mizoram,2984732,9791,2384602
Nagaland,5041742,58460,4519526
Odisha,160130533,790814,150923455
Puducherry,20065891,312155,18483117
Punjab,99949702,2785594,91458159
Rajasthan,162369656,1473089,150356820
Sikkim,3186799,53150,2747214
Tamil Nadu,431928644,5916658,404095807
Telangana,60571979,349648,57488245
Telengana,69990668,400427,64666267
Tripura,14050250,150342,12976846
Unassigned,161,0,0
Uttar Pradesh,312625843,4143450,291479351
Uttarakhand,53140414,986001,48362741
West Bengal,263107876,3846989,247515102
